person_id;bonus
905;85059.63838165088
836;7703.346074017301
287;3120.269742251124
548;5347.987141783156
575;137257.49061444332
242;72789.22686016379
800;121323.6890389114
549;389315.7325497206
323;98110.28261033047
43;268778.4398043498
939;21725.915422535534
136;25650.49581818874
977;127712.34396125306
244;43565.52954885602
956;339080.44435791654
127;90944.4691969234
98;4660.718570584893
6;14750.106301849213
416;132102.75395874298
672;52322.64147348103
967;48885.78758386294
478;1080251.5052457268
427;94714.81236641596
21;92305.96287463808
383;41522.552048646314
113;96924.66207232692
102;5551.732928262938
757;6329445.307208339
824;11584.713872351058
825;2738.230888383869
910;4735.081104103307
718;18033.872058029214
744;249394.76406065514
862;458.96326507083097
268;200650.98605137313
194;778.0408109509525
72;225008.14478312855
576;13248.019961398257
256;476.32323468948545
859;1829.5103117390847
535;17849.09827516891
150;19781.073303377238
84;7086.230687145605
95;10936.489277137356
88;44720.2746405525
710;162572.6947239401
537;9347.620584949344
35;46781.7086783985
511;40627.34684325541
857;1145.3180191258118
429;115580.96576782117
28;17095.225198768767
169;332833.0298039964
29;641.4821127922093
142;46359.872285287594
461;113591.0129060896
594;54008.822726990744
677;483855.05929457664
916;4659.758652371541
685;33341.36262797904
305;26762.17365901968
692;926403.9638755037
458;32954.88836748423
734;3744.786089136662
630;70154.0889570177
568;13282.123922869556
667;376766.8632482974
816;3488.899311672037
983;9391.08530400419
14;39212.94761001429
201;218451.07536116513
334;16805.795996118293
238;85932.82244397374
653;57318.99597087748
235;56666.8894710722
59;158669.57775518458
586;36722.395904806166
308;83522.54753941965
443;87690.61247139843
185;302547.2660807702
920;12710.877491257184
742;524799.8861552427
641;342165.0676030975
217;56037.01864005837
180;40283.52227769772
174;188996.49732610874
262;2352.8990100271412
652;66077.95493026394
573;165630.21659332092
339;908.6296825779469
657;554328.574237241
860;12220.98310245327
834;3685.8473977169897
466;127421.42525515592
751;156191.75843423157
865;75858.32978004104
894;401319.1226761674
794;130853.5698107645
591;83952.42878794506
148;269007.0551405547
572;11209.77985457022
12;386483.71671652544
402;202782.03527114677
474;29309.541216935937
676;1287.6181808847368
420;391256.0787413215
888;2752.89050906855
524;48307.31918655843
713;587158.3380145706
767;1076.8798519997758
925;10116.123012564887
300;9024.633494406156
261;95862.29256179118
53;643776.1190872692
868;70751.97499101183
380;23280.0381509054
183;638001.6118819619
783;3201.3029636764995
114;30856.39132360999
362;1276.5304114602407
929;176718.8468502398
658;6671.247837657558
3;21968.579374844452
189;686563.6412468133
199;83545.36505310601
325;309866.69932645076
696;86312.3243263658
453;966.138130537331
707;1166.163217132172
663;2005.5784374024583
748;40802.7341694982
303;36490.539030746346
632;49514.12516157161
2;3192912.3129180763
705;5911.013279245603
996;389278.96907779324
540;3215522.515572146
951;565549.6880566328
869;6257.3792144798235
952;17149.58581594897
67;6903.335822273492
111;19037.406986781752
382;4632.52126151788
487;6540.761607439306
105;12582.050416715452
5;53167.8029435237
397;30730.049864884793
785;52518.5180204138
938;57572.5556187412
