person_id,gender,wage
0,1,46793.6038108271
1,1,33481.57572005241
2,1,44523.69908406118
3,1,15995.576829130952
4,0,10282.631223900875
5,1,65464.53228148786
6,1,35395.17245409278
7,1,139610.8543652314
8,1,54813.50695725651
9,1,12196.08391898407
10,1,30489.466610036918
11,0,3249.605291476977
12,1,23547.663280821514
12,1,23547.663280821514
13,1,273483.60923594295
13,1,273483.60923594295
14,1,13434.655493289682
14,1,13434.655493289682
15,0,68341.33216316313
15,0,68341.33216316313
16,0,35448.04087759186
16,0,35448.04087759186
17,1,20178.985060062987
17,1,20178.985060062987
18,0,166655.8082740009
19,0,9808.005933838096
20,1,5145.156039682276
21,1,8375.630784677518
22,1,92721.84791378799
23,0,-32790.25112805041
24,0,44093.97871506778
25,0,47579.57903775951
26,0,1642.7151702418
27,1,20020.445463382228
28,1,-287418.64574330836
29,0,21648.22544335491
30,0,17369.868542161905
31,0,18927.67410536637
32,1,50761.923417613354
33,0,-34658.11494037311
34,0,5087.99259683909
35,0,150636.1632578341
36,0,16594.25579357388
37,1,125014.89032696869
38,0,-9478.733615925406
39,1,25031.713818674303
40,1,81986.6750402388
41,0,7331.286676095301
42,1,23057.29227543021
43,0,-26861.587431061074
44,1,23512.92813822399
45,1,36458.3187389708
46,1,17731.107140673397
47,0,13760.36498032092
48,0,39438.8560994648
49,1,33981.39066517921
50,0,16679.959601485964
51,1,66891.4151498423
52,1,24351.020563403556
53,1,12213.218211312056
54,0,21912.042750861525
55,1,89649.41090492265
56,0,32077.905361588764
57,1,29931.551549936292
58,1,52492.15440773185
59,1,109324.20492893683
60,0,50568.54102949953
61,1,25985.946812072172
62,0,15945.278162806684
63,0,106844.69515100912
64,0,3783.6883477129622
65,0,24432.05551441234
66,0,15994.629443092086
67,1,35909.41003601559
68,0,16832.12659701357
69,1,61763.23743293326
70,1,29200.55956808518
71,1,24342.13873316709
72,1,19457.813454515548
73,0,44071.153218644344
74,0,12669.12651234836
75,0,17284.669079512514
76,1,25227.529485575284
77,1,180449.13635943842
78,1,16460.183057937502
79,0,37685.09180450877
80,0,16067.60563121251
81,0,85866.54341296887
82,0,28209.20577390416
83,0,10929.035926320335
84,0,12509.566850664414
85,1,54033.22857174506
86,0,51927.920195721876
87,0,6478.68839106308
88,0,25817.532282061213
89,1,13614.400337899973
90,1,20450.72257249706
91,1,33076.39742443367
92,0,12026.738807144722
93,1,40880.22187889578
94,1,69055.92363379226
95,0,167593.1870382354
96,0,4748.8889377653495
97,0,46368.27408429419
98,1,155927.6772329421
99,1,51568.74108630321
100,1,39208.035110317076
101,1,25728.138997391423
102,1,45620.010324245755
103,0,194140.5161132946
104,0,42787.3205595457
105,1,16715.625627090965
106,0,30522.815044474377
107,0,7572.169663550259
108,1,49384.9449676871
109,1,75732.81229205846
110,1,31340.986591958794
111,1,62729.715771731615
112,0,9704.010222380663
113,1,31964.659297418722
114,1,10156.217267059048
115,1,14243.879586917643
116,0,24945.07251340523
117,0,23600.595040844164
118,1,38054.09312846711
119,0,34999.82893042477
120,1,8433.01448946828
121,0,34618.32972641822
122,0,33807.459324950636
123,0,17937.272461422046
124,1,13962.416147808619
125,1,5441.171260107912
126,0,27882.23882496271
127,0,26789.183020310993
128,1,48239.426317830505
129,1,2346.2868998123354
130,1,66389.28925903118
131,0,21738.284700828226
132,0,88479.19240275348
133,0,13863.109367041834
134,1,34771.74434466359
135,0,7153.036772704063
136,1,137819.97538498943
137,1,35339.16348567726
138,1,45444.35333940426
139,1,24822.89726570449
140,0,34764.1006225396
141,1,9114.491936022787
142,1,27072.394454038367
143,1,31450.037413729664
144,0,37968.90452112152
145,0,60257.57700307222
146,0,116778.9554482372
147,0,13684.073500494575
148,0,60094.75558892518
149,1,17869.936310402773
150,0,10528.668037126487
151,0,23887.78367690443
152,1,54142.2355859045
153,0,24282.78013828532
154,0,70573.64289803605
155,1,35892.552650146994
156,0,13351.75026266625
157,1,165415.1159791516
158,1,21804.576057529877
159,1,10067.824326911843
160,0,108655.00102858314
161,1,66362.48066921528
162,1,16015.700773868473
163,0,12910.595361111971
164,0,95939.83852091554
165,0,21034.089407349922
166,0,217903.8072938985
167,1,56162.61168390414
168,1,48855.96996910223
169,1,27979.119093647798
170,1,36821.44782142853
171,0,76166.03074707088
172,1,29306.59297446029
173,0,21596.206920954246
174,1,58888.570407069295
175,0,25434.072945798132
176,1,83331.15244585769
177,1,23916.729453625296
178,1,12155.416545102385
179,0,30997.06233329227
180,0,14838.653599628684
181,1,22915.876999705084
182,0,17466.402170211306
183,0,32879.97433421192
184,0,71922.9884222791
185,0,55669.179805755106
186,1,20787.59786703243
187,0,8167.221666583767
188,0,24903.610827320845
189,1,27175.661720298143
190,0,89095.13985933302
191,0,17046.60132106642
192,1,78289.02428047145
193,0,87502.24792521255
194,1,47743.46471889665
195,0,15992.027728319426
196,1,43709.33702511205
197,0,28949.66024406052
198,1,202285.52623645205
199,1,22314.109441927303
200,0,15097.761795627168
201,0,75421.53685509591
202,1,45404.19480964063
203,0,62106.53259058242
204,1,5842.865235992525
205,1,34360.119569011295
206,1,231897.4547183551
207,0,33484.90410016015
208,0,9803.249149281955
209,0,34171.21723618459
210,0,6915.145526979035
211,1,109888.68527755626
212,1,26431.138897135315
213,0,10529.995543708199
214,0,17273.382405848984
215,1,52013.9493709835
216,0,70888.134288934
217,1,51444.43889046333
218,1,23301.155279618404
219,0,26928.15404211661
220,1,11369.11456278687
221,0,41690.825699036825
222,0,17570.199436484087
223,0,13104.774871536192
224,1,114487.8766600727
225,1,54002.20340129684
226,0,17060.724278723
227,1,55900.73229625191
228,1,7826.684053963174
229,1,6162.944547762617
230,0,5975.81977846902
231,0,47011.05546296732
232,1,6951.319754443824
233,0,304077.9696581963
234,0,18202.67909222365
235,0,22502.581324950366
236,0,49829.6605260109
237,1,70578.02444690035
238,0,5146.506087949292
239,1,27316.779863069365
240,1,8217.315730221628
241,0,9786.657749243142
242,0,48276.81955146165
243,1,37958.43870765424
244,0,19859.581619821613
245,1,124743.05476958418
246,0,23766.089205958015
247,0,15471.368843501952
248,0,20530.385947844046
249,0,38778.582701846535
250,1,21913.51073694322
251,0,59675.615040348464
252,0,62251.05469774913
253,0,25040.733903048807
254,0,166347.21671648163
255,0,9765.797793093725
256,0,24352.98848150311
257,0,30734.135445922206
258,0,14727.071129876236
259,0,26962.777612210808
260,0,67431.50916570456
261,1,15009.083807168527
262,1,21489.246643229846
263,0,36740.7202216735
264,1,14688.987066943171
265,1,14501.397510345529
266,0,4247.15180080664
267,0,38590.919941797976
268,0,59867.34041183798
269,1,29622.52729235904
270,1,27519.36179437264
271,0,37807.13011264035
272,0,2054.7639360787016
273,1,13742.30642607
274,0,35024.33009168102
275,0,4721.734840539324
276,1,20938.45678362349
277,1,139701.65435851485
278,1,66078.11291275245
279,0,26559.911056349007
280,0,11208.993839081235
281,1,7304.956740808028
282,0,24620.44931034828
283,0,33355.853458280246
284,0,33823.50759231512
285,1,8923.986652069232
286,1,41968.02960986678
287,1,8862.949844095587
288,0,12452.533638924748
289,1,12401.54538359298
290,0,27985.263482606068
291,0,32204.578722934675
292,1,21348.438123855674
293,1,5383.389378633442
294,0,76513.81893942517
295,1,18896.729074961528
296,0,40231.808754841506
297,0,6395.093370343297
298,1,33778.10219106284
299,0,2304.813247157092
300,1,5347.213143765136
301,0,20712.476423324
302,0,41666.90991349761
303,0,28975.89841634487
304,0,27302.279131951724
305,0,3304.3390023716424
306,1,12400.69712945208
307,1,755320.874131734
308,0,360041.10444537736
309,1,11869.67160824762
310,0,29529.733291496774
311,0,103459.91811475679
312,1,27365.332097109793
313,0,108908.59700150132
314,1,25234.229312357766
315,0,29170.194636492626
316,0,8185.003545890721
317,0,40190.30806440585
318,0,17529.29929039354
319,1,8597.300643399487
320,0,23716.14133160561
321,0,83225.40283320958
322,0,27215.050382654877
323,0,11064.075977699575
324,1,8189.783901715916
325,1,16514.255734366634
326,0,26960.225805266313
327,0,30070.753230421444
328,1,6401.312587935759
329,0,115888.77457712656
330,1,76950.96258374785
331,0,36937.662852001115
332,0,2872.4269925007584
333,1,33187.076654416036
334,1,5809.31621773375
335,1,56394.251586229366
336,1,33524.999214547795
337,0,47680.443399602285
338,0,24467.66029553454
339,1,19057.252451396627
340,0,69126.34919365862
341,0,25954.34735344846
342,1,12461.850062486126
343,1,6634.733174435507
344,1,8990.76546163906
345,0,66368.8667372313
346,0,19345.975540293
347,1,11366.901981673582
348,1,15626.926593470595
349,1,16159.995385644084
350,1,1590.4628746417463
351,0,18547.835192556035
352,1,17243.881246273642
353,0,16938.28354008475
354,1,43316.27777839057
355,1,24537.62411258604
356,1,49336.55330068173
